,image_name,gender,Eyes,Nose,Lips,Eyebrows,HairFront,HairBack,HaironShoulder,Eyewear,FaceShape
26,WELkJTELxvf6NxVy.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontNishkarshModi_Medium,,,None,MaleFaceShapeDiamondLong
27,WFKpAo0jkD4fk7RC.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBiswajeet_Medium,,,MaleEyewearFlatTopVision,MaleFaceShapeThinRect2
28,WERO7rEWpmSwppoK.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAtif_Medium,,,None,MaleFaceShapeDiamond
29,WEvuR2xSUAYt0acX.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontBasil_Short,,,MaleEyewearAviator7,MaleFaceShapeOval
30,WErrRo0jkEtFfpnr.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontPratyushMehta_Medium,,,None,MaleFaceShapeTriangle1
31,WFAlKDELxrEHDlZA.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDarshil_Medium,,,MaleEyewearWDark,MaleFaceShapeOval
32,WE_le53KYvV9QsOo.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsThickSmile_Thick,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontAsif_Medium,,,None,MaleFaceShapeDiamondLong
33,WFPyktFH7DqyAhr2.png,male,MaleEyesHooded_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDarshil_Medium,,,MaleEyewearWDark,MaleFaceShapeDiamondLong
34,WEbfz7EWpnI7Qf5q.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDarshil_Medium,,,None,MaleFaceShapeTriangle1
35,WFF7ILEWpiP1mCs0.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsThinSmile_Thin,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontPrashantJha_Short,,,None,MaleFaceShapeTriangle1
36,WEMdfLEWpmSrGYoS.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontPooshan_Medium,,,MaleEyewearAviator7,MaleFaceShapeDiamond
37,WErPWmxSUAYy-uYF.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontHarsnal_Medium,,,None,MaleFaceShapeOblong
38,WET6j40jkIojzJcg.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontRakeshKumar_Medium,,,None,MaleFaceShapeDiamondLong
