,image_name,Up_Lip_Thick,Low_Lip_Thick,L_Lip_Con_Out,R_Lip_Con_Out
0,b1.jpg,44.2,25.5,-9.64,-9.64
1,download.jpg,0,0,0,0
2,Kush.jpg,46.94,27.07,-15.12,-15.12
3,Pankaj.jpg,43.47,25.34,-5.49,-5.49
