,image_name,L_Cheek_Out,R_Cheek_Out,L_Cheek_Up,R_Cheek_Up,Upper_Cheek_In_Out,Upper_Cheek_Up_Dn,Upper_Cheek_Fr_Bk,Lower_Cheek_Fr_Bk,L_Cheek_Fr,R_Cheek_Bk,L_Cheekbone_Out,R_Cheekbone_Out,L_Cheekbone_Up,R_Cheekbone_Up,L_Cheekbone_Fr,R_Cheekbone_Bk,Lower_Cheek_In_Out,Lower_Cheek_Up_Dn
0,b1.jpg,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-100.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,download.jpg,40.0,40.0,-15.0,-15.0,-10.0,-10.0,-75.0,30.0,30.0,-30.0,35.0,35.0,-25.0,-25.0,30.0,30.0,17.5,-25.0
2,Kush.jpg,60.0,60.0,-22.5,-22.5,-15.0,-15.0,-62.5,45.0,45.0,-45.0,52.5,52.5,-37.5,-37.5,45.0,45.0,26.25,-37.5
3,Pankaj.jpg,20.0,20.0,-7.5,-7.5,-5.0,-5.0,-87.5,15.0,15.0,-15.0,17.5,17.5,-12.5,-12.5,15.0,15.0,8.75,-12.5
